id,qtype,qfrom,source,question,answer,description,link
1,填空題,勞動基準法 - 第 1 條 ,"為規定勞動條件最低標準，保障勞工權益，加強勞雇關係，促進社會與經
濟發展，特制定本法；本法未規定者，適用其他法律之規定。
雇主與勞工所訂勞動條件，不得低於本法所定之最低標準。","為規定勞動條件最低標準，保障勞工____，加強勞雇關係，促進社會與經
濟發展，特制定本法；本法未規定者，適用其他法律之規定。
雇主與勞工所訂勞動條件，不得低於本法所定之最低標準。",權益,一字未刪,
2,填空題,勞動基準法 - 第 9-1 條 ,"未符合下列規定者，雇主不得與勞工為離職後競業禁止之約定：
一、雇主有應受保護之正當營業利益。
二、勞工擔任之職位或職務，能接觸或使用雇主之營業秘密。
三、競業禁止之期間、區域、職業活動之範圍及就業對象，未逾合理範疇
    。
四、雇主對勞工因不從事競業行為所受損失有合理補償。
前項第四款所定合理補償，不包括勞工於工作期間所受領之給付。
違反第一項各款規定之一者，其約定無效。
離職後競業禁止之期間，最長不得逾二年。逾二年者，縮短為二年。","未符合下列規定者，雇主不得與勞工為離職後競業禁止之約定：
一、雇主有應受保護之正當營業利益。
二、勞工擔任之職位或職務，能接觸或使用雇主之營業秘密。
三、競業禁止之期間、區域、職業活動之範圍及就業對象，未逾合理範疇
    。
四、雇主對勞工因不從事競業行為所受損失有合理補償。
前項第四款所定合理補償，不包括勞工於工作期間所受領之給付。
違反第一項各款規定之一者，其約定無效。
離職後競業禁止之期間，最長不得逾____。逾二年者，縮短為二年。",二年,一字未刪,
3,填空題,勞動基準法 - 第 21 條 ,"工資由勞雇雙方議定之。但不得低於基本工資。
前項基本工資，由中央主管機關設基本工資審議委員會擬訂後，報請行政
院核定之。
前項基本工資審議委員會之組織及其審議程序等事項，由中央主管機關另
以辦法定之。","工資由____議定之。不得低於基本工資。
基本工資由中央主管機關設基本工資審議委員會擬訂後，報請行政
院核定之。
前項基本工資審議委員會之組織及其審議程序等事項，由中央主管機關另
以辦法定之。",勞雇雙方,稍做變化,
4,填空題,就業保險法 - 第 9 條,"第 9 條 
本保險之保險費率，保險人每三年應至少精算一次，並由中央主管機關聘
請精算師、保險財務專家、相關學者及社會公正人士九人至十五人組成精
算小組審查之。
有下列情形之一者，中央主管機關應於前條規定之保險費率範圍內調整保
險費率：
一、精算之保險費率，其前三年度之平均值與當年度保險費率相差幅度超
    過正負百分之五。
二、本保險累存之基金餘額低於前一年度保險給付平均月給付金額之六倍
    或高於前一年度保險給付平均月給付金額之九倍。
三、本保險增減給付項目、給付內容、給付標準或給付期限，致影響保險
    財務。","下列情形之一，中央主管機關應於前條規定之保險費率範圍內調整保險費率：
一、本保險累存之基金餘額低於前一年度保險給付平均月給付金額之六倍或高於前一年度保險給付平均月給付金額之九倍。
二、本保險增減給付內容、給付項目、____或給付標準，致影響保險財務。
三、精算之保險費率前三年度之平均值與當年度保險費率相差幅度超過正負百分之五。",給付期限,"前後文對調+
稍做變化",
5,填空題,104人力銀行_一零四資訊科技股份有限公司 - 公司簡介,"【品牌故事】 
我們在乎的，不只當下，還有對時代的深遠意義。 

1996年，104誕生，如同美麗的珍珠，來自一粒蚌殼無法忍受的砂粒。 

創辦人楊基寬早年曾外派德國和英國，對於歐美重視人與人的尊重、提升人文水平深植於心，返台後，與朋友成功創業，原已是科技新貴的創業家，卻因無法忍受產品品質被忽略的刺心感而主動辭職。 
人生重新歸零，當時網路還不普及，人力招募處於報紙人事廣告和店家貼紅字條的傳統年代。在事業巔峰拒絕因循定規，楊基寬尋找醉心感動的人生續曲，眼見人們總是習慣沒有效率的求職求才管道，他再次啟動勇敢挑戰的創業魂，歷經兩年拼搏，在三十多坪的舊公寓住家，僅用一部電腦架設網站，創立104人力銀行，並以人性化的網路媒合，開啟國內人力資源市場新頁。 

●我們在乎人的價值，讓人力變人才的有機環境 
人的一生，有三十年花在職場，平均會換七次工作，當找工作停留在薪資價格的低階層次，而非理想價值和社會影響力，職場不會進步；當找人才停留在費用成本的數字階段，企業無法累積人才資本，國力不會提升。 
身為市場典範，我們追求工作、生活與生命的質感，對求職者「不只找工作，幫你找方向」，對徵才企業「不只找人才，為你管理人才」；唯有看見「人」的價值，勞資才能共榮共享，職場才能有機共生。 

●最真誠的企業承諾，就是陪伴客戶成長、引領社會前行 
為求產業創新，我們以C.M.O.S.四大核心概念（cloud雲端、mobile行動、open開放、social社群）步入第二代104，在多元職涯與多元人資的既有基礎上，優化廣度服務，滿足深層需求。 
觀察到人口老化與少子化的時代趨勢，我們的經營觸角從職涯延伸到銀髮與兒童，確立「老有所終、壯有所用、幼有所長」為公司發展的三大核心，期待發揮健康長者的價值，照顧失能長者的尊嚴，拆解8%的上班族因為照顧家中長輩而退出職場的隱形炸彈，另期待幫每一個孩子找到天賦，以質代量，緩解人才供應短少的衝擊。 

●關懷台灣母親，鼓勵破框思考、價值轉型 
104的誕生，緣於失業的社會問題。我們肩上，一直有一份社會責任，一種想安定職場的力量，想關愛土地的活力。我們始終期待，工作的角色應轉型為付出的角色，轉變成幫助社會的人，敢於擁抱問題、解決問題；往往，這就創造出獨特價值和自己的意義。 

人生的差別，在於敢不敢去譜一首沒有極限的曲子！ 

【願景使命】 
104的三大使命： 
1.「職涯使命，壯有所用」：104期待對求職者「不只找工作，幫你找方向」，對企業「不只找人才，為你管理人才」。 
2.「銀髮使命，老有所終」：104期待發揮健康長者的價值，照顧失能長者的尊嚴。 
3.「孩子使命，幼有所長」：104期待幫每一個孩子找到天份。 ",身為市場典範，我們追求工作、生活與生命的質感，對求職者不只找工作，____，對徵才企業不只找人才，為你管理人才；唯有看見人的價值，勞資才能共榮共享，職場才能有機共生。 ,幫你找方向,稍做變化,https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=623a436e5a46402140323c1d1d1d1d5f2443a363189j50&jobsource=checkc
6,填空題,104人力銀行_一零四資訊科技股份有限公司 - 經營理念,同上,"由於我們在乎人的價值，讓人力轉換為人才的有機環境 
人一生有____的時間在職場，平均會換七個工作，若找工作時停留在薪資價格層次，而非社會影響力和理想價值，職場並不會進步；若找人才停留在計較費用成本的階段，企業沒有辦法累積人才資本，國力不會有所升級。",三十年,換句話說,https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=623a436e5a46402140323c1d1d1d1d5f2443a363189j50&jobsource=checkc
7,填空題,迷客夏_禾夏飲品專賣店 - 公司簡介,"源於台灣酪農對土地的愛戀 堅持天然素材 簡單｜單純 如同鮮奶的勻白純淨 
MilkShop 牧場原創飲品 since 2004 品牌經營 一段迷客夏的不平凡旅程 現在正要開始….. 

2004年， 
創立第一家鮮奶門市 -「綠光牧場主題飲品」。 

2006年1月， 
取得飲品商標註冊，成立「迷客夏Milk Shop綠光牧場主題飲品門市」。 

2009年7月， 
依據「綠光牧場主題飲品」之意象，於上海嘉定區成立「上海迷客夏餐飲管理股份有限公司」， 
並開設第一家海外直營店-上海嘉定城中總店。 

2009年10月， 
輔導上海嘉定區第一家加盟店，「倉場店」。 

2009年12月， 
麻豆直營店與上海第二家加盟店「馬陸店」同步開幕。 

2009年12月， 
率先通過農委會舉辦「牛奶品質認證」。 

2011年3月， 
上海嘉定區「迷客夏福海店」開幕。 

2011年6月， 
竹北直營門市開幕。 

2011年8月， 
於福建省莆田市涵江區開設直營門市。 

2014年， 
全省門市已快速成長近40間，預計明年展店至100間門市。 


『綠光牧場』佔地１甲餘，目前飼養250頭乳牛。 

1988 年， 
自美國引進60頭懷孕荷蘭乳牛，成立「東南牧場」，加入統一公司衛星牧場，成為酪農示範戶。 
曾參與畜產試驗所李善男博士「乳牛胚胎移植，品種改良」計劃。 

1993、1994年， 
連續兩屆，獲得全國乳牛選美比賽冠、亞軍。 
牧場負責人榮獲「優良農民楷模」代表。 

2004年， 
牧場第二代於台南縣新市創立第一家鮮奶門市 -「綠光牧場主題飲品」。 

2005年， 
牧場正式更名為「綠光牧場」。 

2009年3月， 
委託代工生產「綠光鮮奶」，除提供迷客夏所有門市調配奶製品飲料使用之外，並開放社區消費者訂購。 

堅持是迷客夏所有夥伴的共同信念，就如同一開始即堅持全程不使用奶精一樣， 
我們誓願提供一個最健康優質的飲品文化，讓所有人都能感受到迷客夏的用心，放心享受最佳的消費經驗！",堅持是迷客夏所有夥伴的共同信念，就如同一開始即堅持全程不使用奶精一樣， 我們誓願讓所有人都能感受到迷客夏的用心，提供一個最____的飲品文化，放心享受最佳的消費經驗！,健康優質,前後文對調,https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=4f4149723b3d456e3739416a3f453d2083030302c473d5b7119j02&jobsource=checkc
8,填空題,迷客夏_禾夏飲品專賣店 - 公司簡介,同上,委託代工生產綠光鮮奶，供迷客夏所有門市調配奶製品飲料使用，開放____訂購。 ,社區消費者,稍做變化,https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=4f4149723b3d456e3739416a3f453d2083030302c473d5b7119j02&jobsource=checkc
9,填空題,迷客夏_禾夏飲品專賣店,同上,委託代工生產綠光鮮奶，供迷客夏所有門市調配奶製品飲料使用，開放____訂購。 ,社區消費者,"稍做變化+
不提供章節",https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=4f4149723b3d456e3739416a3f453d2083030302c473d5b7119j02&jobsource=checkc
10,填空題,,同上,委託代工生產綠光鮮奶，供迷客夏所有門市調配奶製品飲料使用，開放____訂購。 ,社區消費者,"稍做變化+
不提供出處",https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=4f4149723b3d456e3739416a3f453d2083030302c473d5b7119j02&jobsource=checkc
